date,forecast,lower,upper
2025-01-01,617.0780535108363,472.48627019095466,761.6698368307179
2025-01-02,650.7833764442126,506.191593124331,795.3751597640943
2025-01-03,675.1072880187363,530.5155046988547,819.699071338618
2025-01-04,722.7309963638088,578.1392130439272,867.3227796836904
2025-01-05,699.4592229810271,554.8674396611455,844.0510063009087
2025-01-06,626.1332193654531,481.54143604557146,770.7250026853347
2025-01-07,603.9902068059397,459.39842348605805,748.5819901258213
2025-01-08,623.3765017663553,478.7847184464737,767.968285086237
2025-01-09,655.2974931921724,510.70570987229075,799.889276512054
2025-01-10,674.5510083769889,529.9592250571072,819.1427916968705
2025-01-11,719.7422355386294,575.1504522187478,864.3340188585111
2025-01-12,698.3524502421963,553.7606669223146,842.9442335620779
2025-01-13,631.1658161189039,486.57403279902223,775.7575994387855
2025-01-14,613.2495810017109,468.65779768182927,757.8413643215926
2025-01-15,618.1378025687094,473.54601924882775,762.729585888591
2025-01-16,636.5505396925138,491.95875637263214,781.1423230123954
2025-01-17,664.2412547858148,519.6494714659332,808.8330381056965
2025-01-18,714.7174487467706,570.125665426889,859.3092320666523
2025-01-19,693.9394583256652,549.3476750057836,838.5312416455469
2025-01-20,629.400398947177,484.80861562729535,773.9921822670586
2025-01-21,616.836282414108,472.2444990942264,761.4280657339897
2025-01-22,623.8889128048961,479.29712948501447,768.4806961247778
2025-01-23,649.3375673423368,504.74578402245515,793.9293506622184
2025-01-24,671.8645718170159,527.2727884971342,816.4563551368975
2025-01-25,719.9979277879544,575.4061444680727,864.589711107836
2025-01-26,704.3105562566379,559.7187729367563,848.9023395765196
2025-01-27,636.2658191022865,491.67403578240487,780.8576024221682
2025-01-28,625.1430049122584,480.5512215923768,769.7347882321401
2025-01-29,642.9000086116058,498.30822529172417,787.4917919314875
2025-01-30,666.968471939022,522.3766886191404,811.5602552589037
2025-01-31,689.472122850809,544.8803395309274,834.0639061706906
2025-02-01,722.6941843242246,578.1024010043429,867.2859676441062
2025-02-02,705.606680900351,561.0148975804693,850.1984642202326
2025-02-03,640.6158010249462,496.0240177050646,785.2075843448279
2025-02-04,626.8545026531644,482.2627193332828,771.4462859730461
2025-02-05,633.8319560326397,489.24017271275807,778.4237393525214
2025-02-06,658.4326155290522,513.8408322091706,803.0243988489339
2025-02-07,681.5921136957701,537.0003303758884,826.1838970156517
2025-02-08,733.276562938059,588.6847796181773,877.8683462579406
2025-02-09,716.5611208149013,571.9693374950197,861.152904134783
2025-02-10,651.1378996188275,506.5461162989459,795.7296829387092
2025-02-11,637.0383641602189,492.4465808403372,781.6301474801005
2025-02-12,645.5921850305323,501.00040171065064,790.1839683504139
2025-02-13,671.345283760833,526.7535004409514,815.9370670807147
2025-02-14,694.0611545267399,549.4693712068582,838.6529378466215
2025-02-15,744.7304936794034,600.1387103595217,889.322276999285
2025-02-16,728.5348167215026,583.9430334016209,873.1266000413842
2025-02-17,663.2654660355444,518.6736827156627,807.857249355426
2025-02-18,648.4895936827202,503.8978103628385,793.0813770026018
2025-02-19,656.2535445438715,511.66176122398986,800.8453278637531
2025-02-20,680.6767318450891,536.0849485252074,825.2685151649707
2025-02-21,703.291709861755,558.6999265418733,847.8834931816366
2025-02-22,754.1032120137211,609.5114286938394,898.6949953336027
2025-02-23,736.9616224456374,592.3698391257558,881.5534057655191
2025-02-24,671.451060530637,526.8592772107554,816.0428438505187
2025-02-25,656.372923542568,511.7811402226863,800.9647068624496
2025-02-26,663.1867456807161,518.5949623608344,807.7785290005977
2025-02-27,687.7838828299973,543.1920995101157,832.375666149879
2025-02-28,710.2861707272527,565.6943874073711,854.8779540471344
2025-03-01,745.2230631676259,600.6312798477443,889.8148464875076
